category,unicode,name,browser
Lu,U+0480,CYRILLIC CAPITAL LETTER KOPPA,Ҁ
Lu,U+048A,CYRILLIC CAPITAL LETTER SHORT I WITH TAIL,Ҋ
Lu,U+048C,CYRILLIC CAPITAL LETTER SEMISOFT SIGN,Ҍ
Lu,U+048E,CYRILLIC CAPITAL LETTER ER WITH TICK,Ҏ
Lu,U+0490,CYRILLIC CAPITAL LETTER GHE WITH UPTURN,Ґ
Lu,U+0492,CYRILLIC CAPITAL LETTER GHE WITH STROKE,Ғ
Lu,U+0494,CYRILLIC CAPITAL LETTER GHE WITH MIDDLE HOOK,Ҕ
Lu,U+0496,CYRILLIC CAPITAL LETTER ZHE WITH DESCENDER,Җ
Lu,U+0498,CYRILLIC CAPITAL LETTER ZE WITH DESCENDER,Ҙ
Lu,U+049A,CYRILLIC CAPITAL LETTER KA WITH DESCENDER,Қ
Lu,U+049C,CYRILLIC CAPITAL LETTER KA WITH VERTICAL STROKE,Ҝ
Lu,U+049E,CYRILLIC CAPITAL LETTER KA WITH STROKE,Ҟ
Lu,U+04A0,CYRILLIC CAPITAL LETTER BASHKIR KA,Ҡ
Lu,U+04A2,CYRILLIC CAPITAL LETTER EN WITH DESCENDER,Ң
Lu,U+04A4,CYRILLIC CAPITAL LIGATURE EN GHE,Ҥ
Lu,U+04A6,CYRILLIC CAPITAL LETTER PE WITH MIDDLE HOOK,Ҧ
Lu,U+04A8,CYRILLIC CAPITAL LETTER ABKHASIAN HA,Ҩ
Lu,U+04AA,CYRILLIC CAPITAL LETTER ES WITH DESCENDER,Ҫ
Lu,U+04AC,CYRILLIC CAPITAL LETTER TE WITH DESCENDER,Ҭ
Lu,U+04AE,CYRILLIC CAPITAL LETTER STRAIGHT U,Ү
Lu,U+04B0,CYRILLIC CAPITAL LETTER STRAIGHT U WITH STROKE,Ұ
Lu,U+04B2,CYRILLIC CAPITAL LETTER HA WITH DESCENDER,Ҳ
Lu,U+04B4,CYRILLIC CAPITAL LIGATURE TE TSE,Ҵ
Lu,U+04B6,CYRILLIC CAPITAL LETTER CHE WITH DESCENDER,Ҷ
Lu,U+04B8,CYRILLIC CAPITAL LETTER CHE WITH VERTICAL STROKE,Ҹ
